,brand_id,title
2095,10863,STOPDROP TOOLING
2097,7337,E.L.B. Fuellstandsgeraete \/ E.L.B. Ex-Geräte Bachmann GmbH & Co. KG.
2103,9117,Tribotec
2104,9696,Felten & Guilleaume (brand of ATB)
2106,16881,Zeeco
2110,1147,Penny+Giles
2114,140,Deublin
2115,14794,HILLIARD
2116,8703,GANTNER Electronic
2119,7505,Verder Air (Brand of Verder)
2124,5217,Heinrichs Messtechnik (brand of KOBOLD)
2125,3221,Herbert
2132,13475,WEMARO TOOLS
2135,9408,Idem Safety Switches
2137,7887,Andritz Ritz
2138,5538,SATI
2141,7545,Korenix
2142,12441,Liquid Controls \/ SAMPI
2145,110,Lenord+Bauer
2153,15764,SCANDIVAC
2168,10999,DK-Lok
2176,8594,Flux
2201,21023,inmara
2208,1252,Schlemmer
2212,3313,Autel
2213,18669,JABLOTRON
2221,10222,Cariboni (brand of Alstom)
2222,852,KLINGER
2236,2608,SIMCO
2238,15000,Malvern Panalytical
2240,1626,Spieth-maschinenelemente
2243,10340,Fiedler
2244,509,FISCHER Mess- und Regeltechnik
2245,3869,Systemair
2249,411,"INFRANOR  ,  MAVILOR"
2258,399,Temposonics (Brand of MTS Sensor)
2263,12819,Digmesa
2265,7930,Sirem
2266,5565,ContiTech \/ CONTI
2273,134,Spirax Sarco
2274,6372,Brooks Instrument
2277,958,Emerson
2290,16132,Alicat Scientific
2291,12244,WETEC
2292,2110,Toshiba
2294,10311,Stegmann
2295,15727,PROTO Industrial Tools
2314,19630,Accurate Mfg.
2315,376,MARPOSS
2316,20920,Metrix Vibration
2317,4274,GMN
2320,18511,IMAO
2321,15600,HOVEN Hydraulik
2322,2922,HERMA
2324,12506,HIDRACAR
2328,7528,ETTORE CELLA (Brand of Wika)
2333,630,Ruko
2341,10673,Uchida-Rexroth
2348,420,Fuji electric
2362,934,JESSBERGER
2363,1951,Karl Klein Ventilatorenbau
2365,1967,ALUP Kompressoren
2369,7389,Fantini Cosmi
2370,17202,ELCO (brand of Regal Beloit)
2371,6902,GRADA
2376,9987,Kempston
2381,2104,EROWA System
2386,4508,Carraro
2389,992,Buerkert \/ Burkert \/ Bürkert
2391,427,Semikron
2393,10048,Grices
2397,3316,TopWorx (brand of EMERSON)
2398,14863,Albert Hellhake
2400,6336,Versa Valves
2401,338,TAMAGAWA
2402,2260,JUNG PUMPEN (brand of Pentair)
2410,11719,Banner Engineering (brand of Turck)
2413,2338,Scledum
2414,21068,Berco
2419,10136,Emco Wheaton (brand of Gardner Denver)
2424,10897,Jensen Tools
2426,13696,GALIGANI FILTRI
2428,4324,DESTACO
2430,16988,Pow-R-Quik
2431,15369,ESSMANN
2435,659,Sartorius
2436,10851,KANETEC
2437,3793,Rosler \/ Rösler
2439,5183,TYROLIT
2442,5123,Rotor NL (brand of Regal Beloit)
2447,12758,Rotalink
2448,1776,Netter Vibration
2450,11070,Cofi
2451,9827,Masoneilan (brand of Baker Hughes)
2455,3415,Cantoni Motor
2456,10848,Armatec
2459,1383,Klauke (Brand of Emerson)
2462,1169,ETC \/ Energy Technology and Control
2467,14085,STRAUB
2469,10052,TECAPRES
2470,8727,Welling
2471,29,COMAT \/ Comat Releco
2474,2374,Maxcess
2476,3325,Spal Automative
2477,4637,Stucchi
2478,2361,BELIMO
2479,15678,Vonberg
2481,7904,OERTLI
2482,11598,Flow-Tek
2487,5334,Ceme S.p.A.
2488,4453,Unibloc Pump
2490,335,Voith
2492,21067,StarPower
2493,6052,Gimatic
2494,257,SOUTHCO
2495,4333,DRUCK (brand of General Electric)
2508,3156,Lincoln Electric
2512,962,BRAHMA
2513,12682,Morris Coupling
2514,1570,Austerlitz
2521,6266,Siklu
2524,1670,WAM Group
2526,13952,Radobla Srl
2527,12352,A-Flow
2528,868,Motan
2541,14609,ELVEM Electric Motors
2542,18682,ENGINEERING DOBERSEK
2546,4377,Gottfert
2548,14311,Valmet
2557,12373,Häfele
2561,8075,Zanasi
2566,800,ILME
2575,8591,LAMTEC
2579,6911,Müller + Ziegler
2585,13979,Koellmann Gear & Airtec
2588,4296,EDWARDS
2589,19152,Edwards Signaling
2591,3500,EFFBE
2592,2411,HBE
2593,7080,Numtec (brand of Alpine Metal Tech)
2603,1734,Sumitomo
2604,3502,Dynalco (brand of Barksdale)
2605,10473,Johannes Hübner
2606,5499,SEW-EURODRIVE
2607,5938,Dinamic Oil
2608,4125,WITT-Gasetechnik
2609,1774,Grundfos
2612,16527,SITI Riduttori
2613,867,Hanna Instruments
2616,3819,Orsta
2617,7962,Electromen
2618,12639,ZIVAN
2621,922,EMOD
2623,16860,plating electronic
2626,19232,Crestron Electronics
2629,10204,Hypex
2637,158,Wago
2639,14434,Microelettrica Scientifica
2642,3095,Harrisburg
2644,2269,WESTLOCK Controls
2648,2265,BIFFI (Brand of Emerson)
2649,10900,Widap
2655,10166,Zolix
2657,14592,Aermec
2659,3872,Suspa
2661,753,SYR
2662,14489,SHB HEBEZEUGBAU
2664,3309,Rossi (brand of HABASIT)
2669,12674,VAF
2670,1978,Compair (Brand of Gardner Denver)
2671,11708,THERMO ENGINEERING
2677,18012,Rayonic Sensor Systems
2679,6352,SAMSOMATIC
2680,9854,STS
2681,11150,JM Concept
2682,4321,RAEL MOTORI
2684,723,FIPA
2695,8175,Autronica
2707,8474,CBF HYDRAULIC
2715,11403,Isel
2720,2187,NIPPON BEARING
2722,999,"BAUMÜLLER, BAUMULLER, BAUMUELLER"
2725,9512,Günter Wendt \/  Gunter Wendt \/ Guenter Wendt
2726,8286,Hi-Force Hydraulic Tools
2730,8991,Gutekunst Federn
2739,10779,SEW-USOCOME
